date,player1,player2,winner,score,tournament,level,country1,country2
2024-01-15,Fan Zhendong,Ma Long,Fan Zhendong,4-2,WTT Champions Incheon,major,CHN,CHN
2024-01-15,Wang Chuqin,Lin Shidong,Wang Chuqin,4-1,WTT Champions Incheon,major,CHN,CHN
2024-01-16,Fan Zhendong,Wang Chuqin,Wang Chuqin,4-3,WTT Champions Incheon,major,CHN,CHN
2024-01-14,Hugo Calderano,Tomokazu Harimoto,Hugo Calderano,4-2,WTT Champions Incheon,major,BRA,JPN
2024-01-14,Liang Jingkun,Patrick Franziska,Liang Jingkun,4-0,WTT Champions Incheon,major,CHN,GER
2024-02-10,Fan Zhendong,Hugo Calderano,Fan Zhendong,4-1,WTT Contender Lagos,contender,CHN,BRA
2024-02-10,Ma Long,Liang Jingkun,Ma Long,4-3,WTT Contender Lagos,contender,CHN,CHN
2024-02-11,Fan Zhendong,Ma Long,Ma Long,4-2,WTT Contender Lagos,contender,CHN,CHN
2024-03-05,Tomokazu Harimoto,Lin Shidong,Tomokazu Harimoto,4-1,WTT Star Contender Doha,contender,JPN,CHN
2024-03-06,Wang Chuqin,Tomokazu Harimoto,Wang Chuqin,4-2,WTT Star Contender Doha,contender,CHN,JPN
2024-03-20,Fan Zhendong,Patrick Franziska,Fan Zhendong,4-0,WTT Feeder Düsseldorf,regular,CHN,GER
2024-03-21,Hugo Calderano,Wang Chuqin,Wang Chuqin,4-3,WTT Feeder Düsseldorf,regular,BRA,CHN
2024-04-10,Ma Long,Hugo Calderano,Hugo Calderano,4-2,WTT Champions Chongqing,major,CHN,BRA
2024-04-11,Fan Zhendong,Liang Jingkun,Fan Zhendong,4-1,WTT Champions Chongqing,major,CHN,CHN
2024-04-12,Fan Zhendong,Hugo Calderano,Fan Zhendong,4-3,WTT Champions Chongqing,major,CHN,BRA
