date,player1,player2,winner,score,sets_detail,tournament,level,country1,country2
2026-04-08,Omotayo O.,Chua J. S. H.,Chua J. S. H.,0-3,"0-11,0-11,0-11",OTHERS - MEN: WTT Contender Taiyuan (China) - Qualification,contender,,
2026-04-08,Soiphuang N.,Mekamporn N.,Soiphuang N.,3-2,"9-11,9-11,13-11,11-9,11-9",OTHERS - MEN: WTT Contender Taiyuan (China) - Qualification,contender,,
2026-04-08,Yoshimura M.,Malik Y.,Yoshimura M.,3-0,"11-8,11-7,11-3",OTHERS - MEN: WTT Contender Taiyuan (China) - Qualification,contender,,
2026-04-08,Sakai Y.,Ruiz R.,Sakai Y.,3-2,"11-8,13-11,5-11,4-11,13-11",OTHERS - MEN: WTT Contender Taiyuan (China) - Qualification,contender,,
2026-04-08,Aida S.,Woo H.,Aida S.,3-1,"11-2,11-5,7-11,11-9",OTHERS - MEN: WTT Contender Taiyuan (China) - Qualification,contender,,
2026-04-08,Pang Y. E. K.,Ho Kwan K.,Pang Y. E. K.,3-1,"11-5,11-9,8-11,11-8",OTHERS - MEN: WTT Contender Taiyuan (China) - Qualification,contender,,
2026-04-08,Li H.,Kwan M. H.,Li H.,3-2,"11-8,9-11,10-12,11-5,12-10",OTHERS - MEN: WTT Contender Taiyuan (China) - Qualification,contender,,
2026-04-08,Takamori M.,Yang H.,Yang H.,2-3,"11-8,8-11,4-11,11-7,7-11",OTHERS - WOMEN: WTT Contender Taiyuan (China) - Qualification,contender,,
2026-04-08,Li J.,Jiang Y.,Li J.,3-1,"11-8,11-8,6-11,11-6",OTHERS - WOMEN: WTT Contender Taiyuan (China) - Qualification,contender,,
2026-04-08,Men S.,Deng Z.,Men S.,3-0,"11-9,11-7,12-10",OTHERS - WOMEN: WTT Contender Taiyuan (China) - Qualification,contender,,
2026-04-08,Tee A. X.,Chang L. S. A.,Tee A. X.,3-0,"11-5,11-8,11-6",OTHERS - WOMEN: WTT Contender Taiyuan (China) - Qualification,contender,,
2026-04-08,Wong H. T.,Lee K. M. H.,Lee K. M. H.,2-3,"5-11,11-7,4-11,15-13,7-11",OTHERS - WOMEN: WTT Contender Taiyuan (China) - Qualification,contender,,
2026-04-08,Liu Z.,Zhang Y.,Liu Z.,3-1,"11-7,11-6,8-11,11-6",OTHERS - WOMEN: WTT Contender Taiyuan (China) - Qualification,contender,,
2026-04-08,Feng Y.,Wang X.,Feng Y.,3-2,"10-12,14-12,4-11,11-6,17-15",OTHERS - WOMEN: WTT Contender Taiyuan (China) - Qualification,contender,,
2026-04-08,Lyne K.,Kong T. L.,Lyne K.,3-1,"5-11,14-12,12-10,11-9",OTHERS - WOMEN: WTT Contender Taiyuan (China) - Qualification,contender,,
2026-04-07,Omotayo O.,Chua J. S. H.,Chua J. S. H.,0-3,"0-11,0-11,0-11",,regular,,
2026-04-07,Soiphuang N.,Mekamporn N.,Soiphuang N.,3-2,"9-11,9-11,13-11,11-9,11-9",,regular,,
2026-04-07,Yoshimura M.,Malik Y.,Yoshimura M.,3-0,"11-8,11-7,11-3",,regular,,
2026-04-07,Sakai Y.,Ruiz R.,Sakai Y.,3-2,"11-8,13-11,5-11,4-11,13-11",,regular,,
2026-04-07,Aida S.,Woo H.,Aida S.,3-1,"11-2,11-5,7-11,11-9",,regular,,
2026-04-07,Pang Y. E. K.,Ho Kwan K.,Pang Y. E. K.,3-1,"11-5,11-9,8-11,11-8",,regular,,
2026-04-07,Li H.,Kwan M. H.,Li H.,3-2,"11-8,9-11,10-12,11-5,12-10",,regular,,
2026-04-07,Takamori M.,Yang H.,Yang H.,2-3,"11-8,8-11,4-11,11-7,7-11",,regular,,
2026-04-07,Li J.,Jiang Y.,Li J.,3-1,"11-8,11-8,6-11,11-6",,regular,,
2026-04-07,Men S.,Deng Z.,Men S.,3-0,"11-9,11-7,12-10",,regular,,
2026-04-07,Tee A. X.,Chang L. S. A.,Tee A. X.,3-0,"11-5,11-8,11-6",,regular,,
2026-04-07,Wong H. T.,Lee K. M. H.,Lee K. M. H.,2-3,"5-11,11-7,4-11,15-13,7-11",,regular,,
2026-04-07,Liu Z.,Zhang Y.,Liu Z.,3-1,"11-7,11-6,8-11,11-6",,regular,,
2026-04-07,Feng Y.,Wang X.,Feng Y.,3-2,"10-12,14-12,4-11,11-6,17-15",,regular,,
2026-04-07,Lyne K.,Kong T. L.,Lyne K.,3-1,"5-11,14-12,12-10,11-9",,regular,,
2026-04-06,Omotayo O.,Chua J. S. H.,Chua J. S. H.,0-3,"0-11,0-11,0-11",,regular,,
2026-04-06,Soiphuang N.,Mekamporn N.,Soiphuang N.,3-2,"9-11,9-11,13-11,11-9,11-9",,regular,,
2026-04-06,Yoshimura M.,Malik Y.,Yoshimura M.,3-0,"11-8,11-7,11-3",,regular,,
2026-04-06,Sakai Y.,Ruiz R.,Sakai Y.,3-2,"11-8,13-11,5-11,4-11,13-11",,regular,,
2026-04-06,Aida S.,Woo H.,Aida S.,3-1,"11-2,11-5,7-11,11-9",,regular,,
2026-04-06,Pang Y. E. K.,Ho Kwan K.,Pang Y. E. K.,3-1,"11-5,11-9,8-11,11-8",,regular,,
2026-04-06,Li H.,Kwan M. H.,Li H.,3-2,"11-8,9-11,10-12,11-5,12-10",,regular,,
2026-04-06,Takamori M.,Yang H.,Yang H.,2-3,"11-8,8-11,4-11,11-7,7-11",,regular,,
2026-04-06,Li J.,Jiang Y.,Li J.,3-1,"11-8,11-8,6-11,11-6",,regular,,
2026-04-06,Men S.,Deng Z.,Men S.,3-0,"11-9,11-7,12-10",,regular,,
2026-04-06,Tee A. X.,Chang L. S. A.,Tee A. X.,3-0,"11-5,11-8,11-6",,regular,,
2026-04-06,Wong H. T.,Lee K. M. H.,Lee K. M. H.,2-3,"5-11,11-7,4-11,15-13,7-11",,regular,,
2026-04-06,Liu Z.,Zhang Y.,Liu Z.,3-1,"11-7,11-6,8-11,11-6",,regular,,
2026-04-06,Feng Y.,Wang X.,Feng Y.,3-2,"10-12,14-12,4-11,11-6,17-15",,regular,,
2026-04-06,Lyne K.,Kong T. L.,Lyne K.,3-1,"5-11,14-12,12-10,11-9",,regular,,
2026-04-05,Omotayo O.,Chua J. S. H.,Chua J. S. H.,0-3,"0-11,0-11,0-11",,regular,,
2026-04-05,Soiphuang N.,Mekamporn N.,Soiphuang N.,3-2,"9-11,9-11,13-11,11-9,11-9",,regular,,
2026-04-05,Yoshimura M.,Malik Y.,Yoshimura M.,3-0,"11-8,11-7,11-3",,regular,,
2026-04-05,Sakai Y.,Ruiz R.,Sakai Y.,3-2,"11-8,13-11,5-11,4-11,13-11",,regular,,
2026-04-05,Aida S.,Woo H.,Aida S.,3-1,"11-2,11-5,7-11,11-9",,regular,,
2026-04-05,Pang Y. E. K.,Ho Kwan K.,Pang Y. E. K.,3-1,"11-5,11-9,8-11,11-8",,regular,,
2026-04-05,Li H.,Kwan M. H.,Li H.,3-2,"11-8,9-11,10-12,11-5,12-10",,regular,,
2026-04-05,Takamori M.,Yang H.,Yang H.,2-3,"11-8,8-11,4-11,11-7,7-11",,regular,,
2026-04-05,Li J.,Jiang Y.,Li J.,3-1,"11-8,11-8,6-11,11-6",,regular,,
2026-04-05,Men S.,Deng Z.,Men S.,3-0,"11-9,11-7,12-10",,regular,,
2026-04-05,Tee A. X.,Chang L. S. A.,Tee A. X.,3-0,"11-5,11-8,11-6",,regular,,
2026-04-05,Wong H. T.,Lee K. M. H.,Lee K. M. H.,2-3,"5-11,11-7,4-11,15-13,7-11",,regular,,
2026-04-05,Liu Z.,Zhang Y.,Liu Z.,3-1,"11-7,11-6,8-11,11-6",,regular,,
2026-04-05,Feng Y.,Wang X.,Feng Y.,3-2,"10-12,14-12,4-11,11-6,17-15",,regular,,
2026-04-05,Lyne K.,Kong T. L.,Lyne K.,3-1,"5-11,14-12,12-10,11-9",,regular,,
2026-04-04,Omotayo O.,Chua J. S. H.,Chua J. S. H.,0-3,"0-11,0-11,0-11",,regular,,
2026-04-04,Soiphuang N.,Mekamporn N.,Soiphuang N.,3-2,"9-11,9-11,13-11,11-9,11-9",,regular,,
2026-04-04,Yoshimura M.,Malik Y.,Yoshimura M.,3-0,"11-8,11-7,11-3",,regular,,
2026-04-04,Sakai Y.,Ruiz R.,Sakai Y.,3-2,"11-8,13-11,5-11,4-11,13-11",,regular,,
2026-04-04,Aida S.,Woo H.,Aida S.,3-1,"11-2,11-5,7-11,11-9",,regular,,
2026-04-04,Pang Y. E. K.,Ho Kwan K.,Pang Y. E. K.,3-1,"11-5,11-9,8-11,11-8",,regular,,
2026-04-04,Li H.,Kwan M. H.,Li H.,3-2,"11-8,9-11,10-12,11-5,12-10",,regular,,
2026-04-04,Takamori M.,Yang H.,Yang H.,2-3,"11-8,8-11,4-11,11-7,7-11",,regular,,
2026-04-04,Li J.,Jiang Y.,Li J.,3-1,"11-8,11-8,6-11,11-6",,regular,,
2026-04-04,Men S.,Deng Z.,Men S.,3-0,"11-9,11-7,12-10",,regular,,
2026-04-04,Tee A. X.,Chang L. S. A.,Tee A. X.,3-0,"11-5,11-8,11-6",,regular,,
2026-04-04,Wong H. T.,Lee K. M. H.,Lee K. M. H.,2-3,"5-11,11-7,4-11,15-13,7-11",,regular,,
2026-04-04,Liu Z.,Zhang Y.,Liu Z.,3-1,"11-7,11-6,8-11,11-6",,regular,,
2026-04-04,Feng Y.,Wang X.,Feng Y.,3-2,"10-12,14-12,4-11,11-6,17-15",,regular,,
2026-04-04,Lyne K.,Kong T. L.,Lyne K.,3-1,"5-11,14-12,12-10,11-9",,regular,,
2026-04-03,Omotayo O.,Chua J. S. H.,Chua J. S. H.,0-3,"0-11,0-11,0-11",,regular,,
2026-04-03,Soiphuang N.,Mekamporn N.,Soiphuang N.,3-2,"9-11,9-11,13-11,11-9,11-9",,regular,,
2026-04-03,Yoshimura M.,Malik Y.,Yoshimura M.,3-0,"11-8,11-7,11-3",,regular,,
2026-04-03,Sakai Y.,Ruiz R.,Sakai Y.,3-2,"11-8,13-11,5-11,4-11,13-11",,regular,,
2026-04-03,Aida S.,Woo H.,Aida S.,3-1,"11-2,11-5,7-11,11-9",,regular,,
2026-04-03,Pang Y. E. K.,Ho Kwan K.,Pang Y. E. K.,3-1,"11-5,11-9,8-11,11-8",,regular,,
2026-04-03,Li H.,Kwan M. H.,Li H.,3-2,"11-8,9-11,10-12,11-5,12-10",,regular,,
2026-04-03,Takamori M.,Yang H.,Yang H.,2-3,"11-8,8-11,4-11,11-7,7-11",,regular,,
2026-04-03,Li J.,Jiang Y.,Li J.,3-1,"11-8,11-8,6-11,11-6",,regular,,
2026-04-03,Men S.,Deng Z.,Men S.,3-0,"11-9,11-7,12-10",,regular,,
2026-04-03,Tee A. X.,Chang L. S. A.,Tee A. X.,3-0,"11-5,11-8,11-6",,regular,,
2026-04-03,Wong H. T.,Lee K. M. H.,Lee K. M. H.,2-3,"5-11,11-7,4-11,15-13,7-11",,regular,,
2026-04-03,Liu Z.,Zhang Y.,Liu Z.,3-1,"11-7,11-6,8-11,11-6",,regular,,
2026-04-03,Feng Y.,Wang X.,Feng Y.,3-2,"10-12,14-12,4-11,11-6,17-15",,regular,,
2026-04-03,Lyne K.,Kong T. L.,Lyne K.,3-1,"5-11,14-12,12-10,11-9",,regular,,
2026-04-02,Omotayo O.,Chua J. S. H.,Chua J. S. H.,0-3,"0-11,0-11,0-11",,regular,,
2026-04-02,Soiphuang N.,Mekamporn N.,Soiphuang N.,3-2,"9-11,9-11,13-11,11-9,11-9",,regular,,
2026-04-02,Yoshimura M.,Malik Y.,Yoshimura M.,3-0,"11-8,11-7,11-3",,regular,,
2026-04-02,Sakai Y.,Ruiz R.,Sakai Y.,3-2,"11-8,13-11,5-11,4-11,13-11",,regular,,
2026-04-02,Aida S.,Woo H.,Aida S.,3-1,"11-2,11-5,7-11,11-9",,regular,,
2026-04-02,Pang Y. E. K.,Ho Kwan K.,Pang Y. E. K.,3-1,"11-5,11-9,8-11,11-8",,regular,,
2026-04-02,Li H.,Kwan M. H.,Li H.,3-2,"11-8,9-11,10-12,11-5,12-10",,regular,,
2026-04-02,Takamori M.,Yang H.,Yang H.,2-3,"11-8,8-11,4-11,11-7,7-11",,regular,,
2026-04-02,Li J.,Jiang Y.,Li J.,3-1,"11-8,11-8,6-11,11-6",,regular,,
2026-04-02,Men S.,Deng Z.,Men S.,3-0,"11-9,11-7,12-10",,regular,,
2026-04-02,Tee A. X.,Chang L. S. A.,Tee A. X.,3-0,"11-5,11-8,11-6",,regular,,
2026-04-02,Wong H. T.,Lee K. M. H.,Lee K. M. H.,2-3,"5-11,11-7,4-11,15-13,7-11",,regular,,
2026-04-02,Liu Z.,Zhang Y.,Liu Z.,3-1,"11-7,11-6,8-11,11-6",,regular,,
2026-04-02,Feng Y.,Wang X.,Feng Y.,3-2,"10-12,14-12,4-11,11-6,17-15",,regular,,
2026-04-02,Lyne K.,Kong T. L.,Lyne K.,3-1,"5-11,14-12,12-10,11-9",,regular,,
2026-04-01,Omotayo O.,Chua J. S. H.,Chua J. S. H.,0-3,"0-11,0-11,0-11",,regular,,
2026-04-01,Soiphuang N.,Mekamporn N.,Soiphuang N.,3-2,"9-11,9-11,13-11,11-9,11-9",,regular,,
2026-04-01,Yoshimura M.,Malik Y.,Yoshimura M.,3-0,"11-8,11-7,11-3",,regular,,
2026-04-01,Sakai Y.,Ruiz R.,Sakai Y.,3-2,"11-8,13-11,5-11,4-11,13-11",,regular,,
2026-04-01,Aida S.,Woo H.,Aida S.,3-1,"11-2,11-5,7-11,11-9",,regular,,
2026-04-01,Pang Y. E. K.,Ho Kwan K.,Pang Y. E. K.,3-1,"11-5,11-9,8-11,11-8",,regular,,
2026-04-01,Li H.,Kwan M. H.,Li H.,3-2,"11-8,9-11,10-12,11-5,12-10",,regular,,
2026-04-01,Takamori M.,Yang H.,Yang H.,2-3,"11-8,8-11,4-11,11-7,7-11",,regular,,
2026-04-01,Li J.,Jiang Y.,Li J.,3-1,"11-8,11-8,6-11,11-6",,regular,,
2026-04-01,Men S.,Deng Z.,Men S.,3-0,"11-9,11-7,12-10",,regular,,
2026-04-01,Tee A. X.,Chang L. S. A.,Tee A. X.,3-0,"11-5,11-8,11-6",,regular,,
2026-04-01,Wong H. T.,Lee K. M. H.,Lee K. M. H.,2-3,"5-11,11-7,4-11,15-13,7-11",,regular,,
2026-04-01,Liu Z.,Zhang Y.,Liu Z.,3-1,"11-7,11-6,8-11,11-6",,regular,,
2026-04-01,Feng Y.,Wang X.,Feng Y.,3-2,"10-12,14-12,4-11,11-6,17-15",,regular,,
2026-04-01,Lyne K.,Kong T. L.,Lyne K.,3-1,"5-11,14-12,12-10,11-9",,regular,,
2026-03-31,Omotayo O.,Chua J. S. H.,Chua J. S. H.,0-3,"0-11,0-11,0-11",,regular,,
2026-03-31,Soiphuang N.,Mekamporn N.,Soiphuang N.,3-2,"9-11,9-11,13-11,11-9,11-9",,regular,,
2026-03-31,Yoshimura M.,Malik Y.,Yoshimura M.,3-0,"11-8,11-7,11-3",,regular,,
2026-03-31,Sakai Y.,Ruiz R.,Sakai Y.,3-2,"11-8,13-11,5-11,4-11,13-11",,regular,,
2026-03-31,Aida S.,Woo H.,Aida S.,3-1,"11-2,11-5,7-11,11-9",,regular,,
2026-03-31,Pang Y. E. K.,Ho Kwan K.,Pang Y. E. K.,3-1,"11-5,11-9,8-11,11-8",,regular,,
2026-03-31,Li H.,Kwan M. H.,Li H.,3-2,"11-8,9-11,10-12,11-5,12-10",,regular,,
2026-03-31,Takamori M.,Yang H.,Yang H.,2-3,"11-8,8-11,4-11,11-7,7-11",,regular,,
2026-03-31,Li J.,Jiang Y.,Li J.,3-1,"11-8,11-8,6-11,11-6",,regular,,
2026-03-31,Men S.,Deng Z.,Men S.,3-0,"11-9,11-7,12-10",,regular,,
2026-03-31,Tee A. X.,Chang L. S. A.,Tee A. X.,3-0,"11-5,11-8,11-6",,regular,,
