date,player1,player2,winner,score,tournament,level,country1,country2
2022-01-20,Fan Zhendong,Ma Long,Fan Zhendong,4-2,WTT Champions Macao,major,CHN,CHN
2022-01-20,Wang Chuqin,Lin Gaoyuan,Wang Chuqin,4-1,WTT Champions Macao,major,CHN,CHN
2022-01-19,Fan Zhendong,Tomokazu Harimoto,Fan Zhendong,4-1,WTT Champions Macao,major,CHN,JPN
2022-01-19,Ma Long,Hugo Calderano,Ma Long,4-2,WTT Champions Macao,major,CHN,BRA
2022-01-18,Tomokazu Harimoto,Lin Gaoyuan,Lin Gaoyuan,4-3,WTT Champions Macao,major,JPN,CHN
2022-01-18,Hugo Calderano,Liang Jingkun,Hugo Calderano,4-2,WTT Champions Macao,major,BRA,CHN
2022-01-21,Fan Zhendong,Wang Chuqin,Wang Chuqin,4-3,WTT Champions Macao,major,CHN,CHN
2022-03-10,Fan Zhendong,Dimitrij Ovtcharov,Fan Zhendong,4-0,WTT Star Contender Doha,contender,CHN,GER
2022-03-10,Ma Long,Patrick Franziska,Ma Long,4-1,WTT Star Contender Doha,contender,CHN,GER
2022-03-11,Wang Chuqin,Quadri Aruna,Wang Chuqin,4-1,WTT Star Contender Doha,contender,CHN,NGR
2022-03-11,Tomokazu Harimoto,Timo Boll,Tomokazu Harimoto,4-2,WTT Star Contender Doha,contender,JPN,GER
2022-03-12,Fan Zhendong,Tomokazu Harimoto,Fan Zhendong,4-2,WTT Star Contender Doha,contender,CHN,JPN
2022-03-12,Ma Long,Wang Chuqin,Wang Chuqin,4-3,WTT Star Contender Doha,contender,CHN,CHN
2022-03-13,Fan Zhendong,Wang Chuqin,Fan Zhendong,4-1,WTT Star Contender Doha,contender,CHN,CHN
2022-04-15,Hugo Calderano,Liang Jingkun,Hugo Calderano,4-3,WTT Contender Zagreb,contender,BRA,CHN
2022-04-15,Dimitrij Ovtcharov,Quadri Aruna,Dimitrij Ovtcharov,4-2,WTT Contender Zagreb,contender,GER,NGR
2022-04-14,Tomokazu Harimoto,Patrick Franziska,Tomokazu Harimoto,4-1,WTT Contender Zagreb,contender,JPN,GER
2022-04-14,Lin Gaoyuan,Timo Boll,Lin Gaoyuan,4-2,WTT Contender Zagreb,contender,CHN,GER
2022-04-16,Hugo Calderano,Tomokazu Harimoto,Tomokazu Harimoto,4-3,WTT Contender Zagreb,contender,BRA,JPN
2022-04-16,Dimitrij Ovtcharov,Lin Gaoyuan,Lin Gaoyuan,4-2,WTT Contender Zagreb,contender,GER,CHN
2022-04-17,Tomokazu Harimoto,Lin Gaoyuan,Tomokazu Harimoto,4-2,WTT Contender Zagreb,contender,JPN,CHN
2022-06-10,Fan Zhendong,Jang Woojin,Fan Zhendong,4-0,WTT Champions Budapest,major,CHN,KOR
2022-06-10,Wang Chuqin,Hugo Calderano,Wang Chuqin,4-2,WTT Champions Budapest,major,CHN,BRA
2022-06-11,Ma Long,Dimitrij Ovtcharov,Ma Long,4-1,WTT Champions Budapest,major,CHN,GER
2022-06-11,Tomokazu Harimoto,Liang Jingkun,Liang Jingkun,4-3,WTT Champions Budapest,major,JPN,CHN
2022-06-12,Fan Zhendong,Liang Jingkun,Fan Zhendong,4-1,WTT Champions Budapest,major,CHN,CHN
2022-06-12,Ma Long,Wang Chuqin,Ma Long,4-3,WTT Champions Budapest,major,CHN,CHN
2022-06-13,Fan Zhendong,Ma Long,Fan Zhendong,4-2,WTT Champions Budapest,major,CHN,CHN
2022-07-05,Lin Gaoyuan,Patrick Franziska,Lin Gaoyuan,4-1,WTT Contender Tunis,contender,CHN,GER
2022-07-05,Quadri Aruna,Timo Boll,Quadri Aruna,4-3,WTT Contender Tunis,contender,NGR,GER
2022-07-06,Hugo Calderano,Quadri Aruna,Hugo Calderano,4-1,WTT Contender Tunis,contender,BRA,NGR
2022-07-06,Liang Jingkun,Lin Gaoyuan,Liang Jingkun,4-2,WTT Contender Tunis,contender,CHN,CHN
2022-07-07,Hugo Calderano,Liang Jingkun,Liang Jingkun,4-3,WTT Contender Tunis,contender,BRA,CHN
2022-09-15,Fan Zhendong,Truls Moregardh,Fan Zhendong,4-0,WTT Cup Finals Xinxiang,major,CHN,SWE
2022-09-15,Wang Chuqin,Lin Shidong,Wang Chuqin,4-1,WTT Cup Finals Xinxiang,major,CHN,CHN
2022-09-16,Ma Long,Jang Woojin,Ma Long,4-2,WTT Cup Finals Xinxiang,major,CHN,KOR
2022-09-16,Hugo Calderano,Tomokazu Harimoto,Tomokazu Harimoto,4-3,WTT Cup Finals Xinxiang,major,BRA,JPN
2022-09-17,Fan Zhendong,Tomokazu Harimoto,Fan Zhendong,4-1,WTT Cup Finals Xinxiang,major,CHN,JPN
2022-09-17,Wang Chuqin,Ma Long,Wang Chuqin,4-2,WTT Cup Finals Xinxiang,major,CHN,CHN
2022-09-18,Fan Zhendong,Wang Chuqin,Fan Zhendong,4-3,WTT Cup Finals Xinxiang,major,CHN,CHN
2022-10-10,Dimitrij Ovtcharov,Timo Boll,Dimitrij Ovtcharov,4-2,WTT Contender Muscat,contender,GER,GER
